scenario_id,wind_scenario,solar_scenario,hour,hour_label,wind_MW,solar_MW,load_MW
1,1,1,0,0:00-1:00,9.776,0.0,1.3698000000000001
1,1,1,1,1:00-2:00,10.904,0.0,1.0997999999999999
1,1,1,2,2:00-3:00,15.152000000000001,0.0,0.7998000000000001
1,1,1,3,3:00-4:00,13.312,0.0,0.99
1,1,1,4,4:00-5:00,15.072000000000001,0.0,1.1802000000000001
1,1,1,5,5:00-6:00,18.724,0.0,1.6301999999999999
1,1,1,6,6:00-7:00,9.628,14.08,2.5002
1,1,1,7,7:00-8:00,22.804000000000002,25.6,3.3701999999999996
1,1,1,8,8:00-9:00,17.852,37.12,4.0098
1,1,1,9,9:00-10:00,14.328000000000001,46.08,4.199999999999999
1,1,1,10,10:00-11:00,11.904,52.48,4.1202
1,1,1,11,11:00-12:00,7.736,55.04,3.9000000000000004
1,1,1,12,12:00-13:00,8.556000000000001,56.32,3.2598000000000003
1,1,1,13,13:00-14:00,14.52,56.32,2.6898
1,1,1,14,14:00-15:00,6.707999999999999,52.48,3.63
1,1,1,15,15:00-16:00,11.175999999999998,44.8,3.8202000000000003
1,1,1,16,16:00-17:00,10.107999999999999,33.28,3.75
1,1,1,17,17:00-18:00,6.3839999999999995,24.32,3.1398
1,1,1,18,18:00-19:00,6.428000000000001,11.52,2.61
1,1,1,19,19:00-20:00,5.736,0.0,2.1198
1,1,1,20,20:00-21:00,3.752,0.0,1.8599999999999999
1,1,1,21,21:00-22:00,3.6919999999999997,0.0,1.6301999999999999
1,1,1,22,22:00-23:00,4.88,0.0,1.56
1,1,1,23,23:00-24:00,3.1919999999999997,0.0,1.4802
2,1,2,0,0:00-1:00,9.776,0.0,1.3698000000000001
2,1,2,1,1:00-2:00,10.904,0.0,1.0997999999999999
2,1,2,2,2:00-3:00,15.152000000000001,0.0,0.7998000000000001
2,1,2,3,3:00-4:00,13.312,0.0,0.99
2,1,2,4,4:00-5:00,15.072000000000001,0.0,1.1802000000000001
2,1,2,5,5:00-6:00,18.724,0.0,1.6301999999999999
2,1,2,6,6:00-7:00,9.628,0.0,2.5002
2,1,2,7,7:00-8:00,22.804000000000002,3.2,3.3701999999999996
2,1,2,8,8:00-9:00,17.852,10.88,4.0098
2,1,2,9,9:00-10:00,14.328000000000001,17.92,4.199999999999999
2,1,2,10,10:00-11:00,11.904,24.96,4.1202
2,1,2,11,11:00-12:00,7.736,31.36,3.9000000000000004
2,1,2,12,12:00-13:00,8.556000000000001,35.84,3.2598000000000003
2,1,2,13,13:00-14:00,14.52,37.12,2.6898
2,1,2,14,14:00-15:00,6.707999999999999,32.0,3.63
2,1,2,15,15:00-16:00,11.175999999999998,25.6,3.8202000000000003
2,1,2,16,16:00-17:00,10.107999999999999,19.2,3.75
2,1,2,17,17:00-18:00,6.3839999999999995,9.6,3.1398
2,1,2,18,18:00-19:00,6.428000000000001,3.2,2.61
2,1,2,19,19:00-20:00,5.736,0.0,2.1198
2,1,2,20,20:00-21:00,3.752,0.0,1.8599999999999999
2,1,2,21,21:00-22:00,3.6919999999999997,0.0,1.6301999999999999
2,1,2,22,22:00-23:00,4.88,0.0,1.56
2,1,2,23,23:00-24:00,3.1919999999999997,0.0,1.4802
3,1,3,0,0:00-1:00,9.776,0.0,1.3698000000000001
3,1,3,1,1:00-2:00,10.904,0.0,1.0997999999999999
3,1,3,2,2:00-3:00,15.152000000000001,0.0,0.7998000000000001
3,1,3,3,3:00-4:00,13.312,0.0,0.99
3,1,3,4,4:00-5:00,15.072000000000001,0.0,1.1802000000000001
3,1,3,5,5:00-6:00,18.724,0.0,1.6301999999999999
3,1,3,6,6:00-7:00,9.628,0.0,2.5002
3,1,3,7,7:00-8:00,22.804000000000002,1.28,3.3701999999999996
3,1,3,8,8:00-9:00,17.852,3.2,4.0098
3,1,3,9,9:00-10:00,14.328000000000001,5.12,4.199999999999999
3,1,3,10,10:00-11:00,11.904,7.68,4.1202
3,1,3,11,11:00-12:00,7.736,11.52,3.9000000000000004
3,1,3,12,12:00-13:00,8.556000000000001,14.08,3.2598000000000003
3,1,3,13,13:00-14:00,14.52,14.08,2.6898
3,1,3,14,14:00-15:00,6.707999999999999,11.52,3.63
3,1,3,15,15:00-16:00,11.175999999999998,7.04,3.8202000000000003
3,1,3,16,16:00-17:00,10.107999999999999,5.12,3.75
3,1,3,17,17:00-18:00,6.3839999999999995,3.2,3.1398
3,1,3,18,18:00-19:00,6.428000000000001,1.28,2.61
3,1,3,19,19:00-20:00,5.736,0.0,2.1198
3,1,3,20,20:00-21:00,3.752,0.0,1.8599999999999999
3,1,3,21,21:00-22:00,3.6919999999999997,0.0,1.6301999999999999
3,1,3,22,22:00-23:00,4.88,0.0,1.56
3,1,3,23,23:00-24:00,3.1919999999999997,0.0,1.4802
4,1,4,0,0:00-1:00,9.776,0.0,1.3698000000000001
4,1,4,1,1:00-2:00,10.904,0.0,1.0997999999999999
4,1,4,2,2:00-3:00,15.152000000000001,0.0,0.7998000000000001
4,1,4,3,3:00-4:00,13.312,0.0,0.99
4,1,4,4,4:00-5:00,15.072000000000001,0.0,1.1802000000000001
4,1,4,5,5:00-6:00,18.724,0.0,1.6301999999999999
4,1,4,6,6:00-7:00,9.628,0.0,2.5002
4,1,4,7,7:00-8:00,22.804000000000002,0.0,3.3701999999999996
4,1,4,8,8:00-9:00,17.852,0.0,4.0098
4,1,4,9,9:00-10:00,14.328000000000001,0.0,4.199999999999999
4,1,4,10,10:00-11:00,11.904,0.0,4.1202
4,1,4,11,11:00-12:00,7.736,1.28,3.9000000000000004
4,1,4,12,12:00-13:00,8.556000000000001,5.12,3.2598000000000003
4,1,4,13,13:00-14:00,14.52,7.68,2.6898
4,1,4,14,14:00-15:00,6.707999999999999,5.12,3.63
4,1,4,15,15:00-16:00,11.175999999999998,1.28,3.8202000000000003
4,1,4,16,16:00-17:00,10.107999999999999,0.0,3.75
4,1,4,17,17:00-18:00,6.3839999999999995,0.0,3.1398
4,1,4,18,18:00-19:00,6.428000000000001,0.0,2.61
4,1,4,19,19:00-20:00,5.736,0.0,2.1198
4,1,4,20,20:00-21:00,3.752,0.0,1.8599999999999999
4,1,4,21,21:00-22:00,3.6919999999999997,0.0,1.6301999999999999
4,1,4,22,22:00-23:00,4.88,0.0,1.56
4,1,4,23,23:00-24:00,3.1919999999999997,0.0,1.4802
5,2,1,0,0:00-1:00,5.312,0.0,1.3698000000000001
