scenario_id,wind_scenario,solar_scenario,hour,hour_label,wind_MW,solar_MW,load_MW
1,1,1,0,00:00,31.1921,0.0,1.3698
1,1,1,1,01:00,31.1214,0.0,1.0998
1,1,1,2,02:00,31.0148,0.0,0.7998
1,1,1,3,03:00,30.6928,0.0,0.99
1,1,1,4,04:00,29.5409,0.7201,1.1802
1,1,1,5,05:00,28.798,7.0216,1.6302
1,1,1,6,06:00,30.804,17.8379,2.5002
1,1,1,7,07:00,32.9954,30.0064,3.3702
1,1,1,8,08:00,35.5942,41.9766,4.0098
1,1,1,9,09:00,39.8943,51.7353,4.2
1,1,1,10,10:00,40.0,57.5853,4.1202
1,1,1,11,11:00,40.0,58.6203,3.9
1,1,1,12,12:00,40.0,57.028,3.2598
1,1,1,13,13:00,40.0,51.3725,2.6898
1,1,1,14,14:00,40.0,43.1246,3.63
1,1,1,15,15:00,38.8093,32.1521,3.8202
1,1,1,16,16:00,36.3087,19.978,3.75
1,1,1,17,17:00,34.1704,8.7575,3.1398
1,1,1,18,18:00,34.3751,1.2593,2.61
1,1,1,19,19:00,33.3322,0.0,2.1198
1,1,1,20,20:00,34.4959,0.0,1.86
1,1,1,21,21:00,33.6656,0.0,1.6302
1,1,1,22,22:00,33.0382,0.0,1.56
1,1,1,23,23:00,33.8567,0.0,1.4802
2,1,2,0,00:00,31.1921,0.0,1.3698
2,1,2,1,01:00,31.1214,0.0,1.0998
2,1,2,2,02:00,31.0148,0.0,0.7998
2,1,2,3,03:00,30.6928,0.0,0.99
2,1,2,4,04:00,29.5409,0.2,1.1802
2,1,2,5,05:00,28.798,2.6552,1.6302
2,1,2,6,06:00,30.804,10.6746,2.5002
2,1,2,7,07:00,32.9954,21.5223,3.3702
2,1,2,8,08:00,35.5942,32.9057,4.0098
2,1,2,9,09:00,39.8943,42.2651,4.2
2,1,2,10,10:00,40.0,48.4104,4.1202
2,1,2,11,11:00,40.0,50.0304,3.9
2,1,2,12,12:00,40.0,47.9569,3.2598
2,1,2,13,13:00,40.0,41.2824,2.6898
2,1,2,14,14:00,40.0,32.088,3.63
2,1,2,15,15:00,38.8093,21.7096,3.8202
2,1,2,16,16:00,36.3087,11.4153,3.75
2,1,2,17,17:00,34.1704,3.1071,3.1398
2,1,2,18,18:00,34.3751,0.2928,2.61
2,1,2,19,19:00,33.3322,0.0,2.1198
2,1,2,20,20:00,34.4959,0.0,1.86
2,1,2,21,21:00,33.6656,0.0,1.6302
2,1,2,22,22:00,33.0382,0.0,1.56
2,1,2,23,23:00,33.8567,0.0,1.4802
3,1,3,0,00:00,31.1921,0.0,1.3698
3,1,3,1,01:00,31.1214,0.0,1.0998
3,1,3,2,02:00,31.0148,0.0,0.7998
3,1,3,3,03:00,30.6928,0.0,0.99
3,1,3,4,04:00,29.5409,0.0906,1.1802
3,1,3,5,05:00,28.798,0.8686,1.6302
3,1,3,6,06:00,30.804,4.357,2.5002
3,1,3,7,07:00,32.9954,12.9748,3.3702
3,1,3,8,08:00,35.5942,22.6137,4.0098
3,1,3,9,09:00,39.8943,30.8605,4.2
3,1,3,10,10:00,40.0,36.4494,4.1202
3,1,3,11,11:00,40.0,37.7086,3.9
3,1,3,12,12:00,40.0,35.4698,3.2598
3,1,3,13,13:00,40.0,29.771,2.6898
3,1,3,14,14:00,40.0,22.2811,3.63
3,1,3,15,15:00,38.8093,13.2676,3.8202
3,1,3,16,16:00,36.3087,4.8164,3.75
3,1,3,17,17:00,34.1704,1.0647,3.1398
3,1,3,18,18:00,34.3751,0.1534,2.61
3,1,3,19,19:00,33.3322,0.0,2.1198
3,1,3,20,20:00,34.4959,0.0,1.86
3,1,3,21,21:00,33.6656,0.0,1.6302
3,1,3,22,22:00,33.0382,0.0,1.56
3,1,3,23,23:00,33.8567,0.0,1.4802
4,1,4,0,00:00,31.1921,0.0,1.3698
4,1,4,1,01:00,31.1214,0.0,1.0998
4,1,4,2,02:00,31.0148,0.0,0.7998
4,1,4,3,03:00,30.6928,0.0,0.99
4,1,4,4,04:00,29.5409,0.0293,1.1802
4,1,4,5,05:00,28.798,0.3006,1.6302
