scenario_id,wind_scenario,solar_scenario,hour,hour_label,wind_MW,solar_MW,load_MW
1,1,1,0,00:00,18.9209,0.0,1.3698
1,1,1,1,01:00,20.7882,0.0,1.0998
1,1,1,2,02:00,22.6828,0.0,0.7998
1,1,1,3,03:00,23.5294,0.0,0.99
1,1,1,4,04:00,23.2373,0.8547,1.1802
1,1,1,5,05:00,22.0187,7.5853,1.6302
1,1,1,6,06:00,23.2571,18.833,2.5002
1,1,1,7,07:00,28.5707,31.2189,3.3702
1,1,1,8,08:00,33.5142,42.7664,4.0098
1,1,1,9,09:00,38.6568,51.7339,4.2
1,1,1,10,10:00,39.2218,57.6027,4.1202
1,1,1,11,11:00,39.3693,59.6193,3.9
1,1,1,12,12:00,39.1156,57.0572,3.2598
1,1,1,13,13:00,38.4427,51.3934,2.6898
1,1,1,14,14:00,37.6286,42.6663,3.63
1,1,1,15,15:00,36.382,31.8427,3.8202
1,1,1,16,16:00,32.6554,19.9516,3.75
1,1,1,17,17:00,28.8646,8.8123,3.1398
1,1,1,18,18:00,24.0147,1.4088,2.61
1,1,1,19,19:00,18.9376,0.0,2.1198
1,1,1,20,20:00,14.763,0.0,1.86
1,1,1,21,21:00,12.4828,0.0,1.6302
1,1,1,22,22:00,10.9574,0.0,1.56
1,1,1,23,23:00,9.7477,0.0,1.4802
2,1,2,0,00:00,18.9209,0.0,1.3698
2,1,2,1,01:00,20.7882,0.0,1.0998
2,1,2,2,02:00,22.6828,0.0,0.7998
2,1,2,3,03:00,23.5294,0.0,0.99
2,1,2,4,04:00,23.2373,0.2818,1.1802
2,1,2,5,05:00,22.0187,3.0327,1.6302
2,1,2,6,06:00,23.2571,10.7061,2.5002
2,1,2,7,07:00,28.5707,21.1818,3.3702
2,1,2,8,08:00,33.5142,31.6844,4.0098
2,1,2,9,09:00,38.6568,40.3144,4.2
2,1,2,10,10:00,39.2218,45.7795,4.1202
2,1,2,11,11:00,39.3693,47.098,3.9
2,1,2,12,12:00,39.1156,44.6477,3.2598
2,1,2,13,13:00,38.4427,39.4984,2.6898
2,1,2,14,14:00,37.6286,31.4524,3.63
2,1,2,15,15:00,36.382,21.8498,3.8202
2,1,2,16,16:00,32.6554,11.7576,3.75
2,1,2,17,17:00,28.8646,3.7632,3.1398
2,1,2,18,18:00,24.0147,0.5057,2.61
2,1,2,19,19:00,18.9376,0.0,2.1198
2,1,2,20,20:00,14.763,0.0,1.86
2,1,2,21,21:00,12.4828,0.0,1.6302
2,1,2,22,22:00,10.9574,0.0,1.56
2,1,2,23,23:00,9.7477,0.0,1.4802
3,1,3,0,00:00,18.9209,0.0,1.3698
3,1,3,1,01:00,20.7882,0.0,1.0998
3,1,3,2,02:00,22.6828,0.0,0.7998
