hour,solar_scenario_1,solar_scenario_2,solar_scenario_3,solar_scenario_4,solar_scenario_1_MW,solar_scenario_2_MW,solar_scenario_3_MW,solar_scenario_4_MW
0:00-1:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:00-2:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:00-3:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:00-4:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:00-5:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:00-6:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6:00-7:00,0.22,0.0,0.0,0.0,14.08,0.0,0.0,0.0
7:00-8:00,0.4,0.05,0.02,0.0,25.6,3.2,1.28,0.0
8:00-9:00,0.58,0.17,0.05,0.0,37.12,10.88,3.2,0.0
9:00-10:00,0.72,0.28,0.08,0.0,46.08,17.92,5.12,0.0
10:00-11:00,0.82,0.39,0.12,0.0,52.48,24.96,7.68,0.0
11:00-12:00,0.86,0.49,0.18,0.02,55.04,31.36,11.52,1.28
12:00-13:00,0.88,0.56,0.22,0.08,56.32,35.84,14.08,5.12
13:00-14:00,0.88,0.58,0.22,0.12,56.32,37.12,14.08,7.68
14:00-15:00,0.82,0.5,0.18,0.08,52.48,32.0,11.52,5.12
15:00-16:00,0.7,0.4,0.11,0.02,44.8,25.6,7.04,1.28
16:00-17:00,0.52,0.3,0.08,0.0,33.28,19.2,5.12,0.0
17:00-18:00,0.38,0.15,0.05,0.0,24.32,9.6,3.2,0.0
18:00-19:00,0.18,0.05,0.02,0.0,11.52,3.2,1.28,0.0
19:00-20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:00-21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21:00-22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00-23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:00-24:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
