daily_target,daily_nh3,ton_cost,total_cost,total_buy_MWh,total_sell_MWh,total_ren_MWh,total_load_MWh,curtailment_MWh,ren_used_MWh,self_use_ratio,green_ratio,feedin_ratio,all_pass,pass_count,alkel_ratio,pemel_ratio,nh3_ratio,alkel_on,pemel_on,alkel_startups,pemel_startups,avg_alkel_load,avg_pemel_load,alkel_energy_share,equipment_utilization,daily_storage_cost,cost_breakdown,solve_status,scenario_id,storage_cap_MWh,model_type
72,51.1163,4749.12,242757.13,0.0,0.0,1121.11,762.36,358.74,762.36,0.68,1.4706,0.0,True,3,"[0.0, 0.0, 0.0, 0.15, 0.15, 0.3489, 0.9082, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6652, 0.15, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8439, 0.9466, 1.0, 0.9364, 0.9543, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9496, 0.8087, 0.6206, 0.5221, 0.4521, 0.3979]","[0.4488, 0.5044, 0.5333, 0.5409, 0.5506, 0.6637, 0.9511, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8225, 0.548, 0.4298, 0.3279, 0.2744, 0.2364, 0.2068]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24,24,0.7733,0.893,0.366,0.7099,0.0,"{'wind_lcoe': np.float64(95663.89), 'pv_lcoe': np.float64(58001.58), 'om_total': 89091.65, 'grid_buy': 0.0, 'grid_sell_rev': 0.0, 'storage_daily': 0.0}",1,1,0,dual
72,51.7601,4723.44,244485.47,0.0,0.0,1121.11,766.58,352.1,769.0,0.6838,1.4625,0.0,True,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.4488, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8439, 0.9466, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9462, 0.6206, 0.6, 0.4521, 0.3979]","[0.4488, 0.5044, 0.5333, 0.5333, 0.5333, 0.7114, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8632, 0.5333, 0.5042, 0.3279, 0.3168, 0.2364, 0.2068]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24,24,0.9378,0.9086,0.3586,0.7189,963.24,"{'wind_lcoe': np.float64(95663.89), 'pv_lcoe': np.float64(58001.58), 'om_total': 89856.75, 'grid_buy': 0.0, 'grid_sell_rev': 0.0, 'storage_daily': 963.24}",1,1,5,dual
72,52.1088,4722.65,246091.86,0.0,0.0,1121.11,771.03,346.54,774.56,0.6877,1.454,0.0,True,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.4488, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7421, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8439, 0.9466, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6337, 0.6, 0.6, 0.3979]","[0.4488, 0.5044, 0.5333, 0.5333, 0.5333, 0.7114, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8628, 0.5333, 0.5333, 0.335, 0.3168, 0.3168, 0.2068]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24,24,0.9378,0.9176,0.3563,0.7237,1926.48,"{'wind_lcoe': np.float64(95663.89), 'pv_lcoe': np.float64(58001.58), 'om_total': 90499.9, 'grid_buy': 0.0, 'grid_sell_rev': 0.0, 'storage_daily': 1926.48}",1,1,10,dual
72,52.8054,4721.23,249306.52,0.0,0.0,1121.11,779.95,335.39,785.71,0.6957,1.4374,0.0,True,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.4488, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7403, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8439, 0.9466, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6, 0.6, 0.4619]","[0.4488, 0.5044, 0.5333, 0.5333, 0.5333, 0.7114, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8619, 0.5333, 0.5333, 0.5333, 0.3168, 0.3168, 0.2417]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24,24,0.9376,0.9355,0.3519,0.7334,3852.97,"{'wind_lcoe': np.float64(95663.89), 'pv_lcoe': np.float64(58001.58), 'om_total': 91788.08, 'grid_buy': 0.0, 'grid_sell_rev': 0.0, 'storage_daily': 3852.97}",1,1,20,dual
72,53.5009,4719.89,252518.05,0.0,0.0,1121.11,788.85,324.24,796.87,0.7036,1.4212,0.0,True,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.4488, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8439, 0.9466, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8912, 0.6, 0.6]","[0.4488, 0.5044, 0.5333, 0.5333, 0.5333, 0.7114, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8609, 0.5333, 0.5333, 0.5333, 0.4744, 0.3168, 0.3168]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24,24,0.9375,0.9534,0.3475,0.7431,5779.45,"{'wind_lcoe': np.float64(95663.89), 'pv_lcoe': np.float64(58001.58), 'om_total': 93073.13, 'grid_buy': 0.0, 'grid_sell_rev': 0.0, 'storage_daily': 5779.45}",1,1,30,dual
72,54.8879,4717.58,258938.0,0.0,0.0,1121.11,806.62,301.93,819.18,0.7195,1.3899,0.0,True,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.4488, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7351, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8439, 0.9466, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9487]","[0.4488, 0.5044, 0.5333, 0.5333, 0.5333, 0.7114, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8591, 0.5333, 0.5333, 0.5333, 0.5333, 0.5333, 0.5055]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24,24,0.9372,0.9891,0.3392,0.7623,9632.42,"{'wind_lcoe': np.float64(95663.89), 'pv_lcoe': np.float64(58001.58), 'om_total': 95640.1, 'grid_buy': 0.0, 'grid_sell_rev': 0.0, 'storage_daily': 9632.42}",1,1,50,dual
72,58.0572,4705.74,273202.19,0.0,0.0,1121.11,851.89,245.89,875.21,0.7599,1.316,0.0,True,3,"[0.0, 0.0, 0.0, 0.0, 0.15, 1.0, 0.9569, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5333, 0.5333, 0.5333, 0.5333, 0.5753, 1.0, 0.9771, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5333, 0.5333, 0.5333, 0.5333, 0.5333]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24,24,0.9405,1.0,0.3702,0.8064,19264.84,"{'wind_lcoe': np.float64(95663.89), 'pv_lcoe': np.float64(58001.58), 'om_total': 100271.87, 'grid_buy': 0.0, 'grid_sell_rev': 0.0, 'storage_daily': 19264.84}",1,1,100,dual
72,49.6755,4532.2,225139.04,0.0,0.0,991.31,741.21,250.1,741.21,0.7477,1.3374,0.0,True,3,"[0.0, 0.0, 0.0, 0.15, 0.15, 0.15, 0.5172, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9598, 0.4221, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8439, 0.9466, 1.0, 0.9364, 0.9268, 0.9788, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8087, 0.6206, 0.5221, 0.4521, 0.3979]","[0.4488, 0.5044, 0.5333, 0.5409, 0.5357, 0.5638, 0.7465, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9786, 0.6977, 0.5333, 0.4298, 0.3279, 0.2744, 0.2364, 0.2068]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24,24,0.7566,0.8931,0.3462,0.6899,0.0,"{'wind_lcoe': np.float64(95663.89), 'pv_lcoe': np.float64(42426.42), 'om_total': 87048.72, 'grid_buy': 0.0, 'grid_sell_rev': 0.0, 'storage_daily': 0.0}",1,2,0,dual
72,50.3255,4510.7,227003.47,0.0,0.0,991.31,746.81,242.35,748.96,0.7534,1.3274,0.0,True,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.665, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.4239, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8439, 0.9466, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9462, 0.6206, 0.6, 0.4521, 0.3979]","[0.4488, 0.5044, 0.5333, 0.5333, 0.5333, 0.5753, 0.8224, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6987, 0.5333, 0.5042, 0.3279, 0.3168, 0.2364, 0.2068]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24,24,0.8645,0.9086,0.3401,0.699,963.24,"{'wind_lcoe': np.float64(95663.89), 'pv_lcoe': np.float64(42426.42), 'om_total': 87949.91, 'grid_buy': 0.0, 'grid_sell_rev': 0.0, 'storage_daily': 963.24}",1,2,5,dual
72,50.7422,4504.25,228555.31,0.0,0.0,991.31,750.75,236.8,754.52,0.7573,1.3204,0.0,True,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7882, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.4226, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8439, 0.9466, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6337, 0.6, 0.6, 0.3979]","[0.4488, 0.5044, 0.5333, 0.5333, 0.5333, 0.5333, 0.8873, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.698, 0.5333, 0.5333, 0.335, 0.3168, 0.3168, 0.2068]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24,24,0.9342,0.9176,0.3373,0.7048,1926.48,"{'wind_lcoe': np.float64(95663.89), 'pv_lcoe': np.float64(42426.42), 'om_total': 88538.51, 'grid_buy': 0.0, 'grid_sell_rev': 0.0, 'storage_daily': 1926.48}",1,2,10,dual
