storage_MWh,daily_nh3,ton_cost,ren_used_MWh,total_ren_MWh,equipment_utilization,scenario_id,delta_ren_used_MWh,unlocking_factor,delta_nh3_tons
0,62.6135,4642.71,932.8,1312.88,0.8696,1,0.0,0.0,0.0
10,63.4267,4612.62,932.61,1312.88,0.8809,1,-0.19,-0.019,0.8132
20,64.1109,4606.86,941.54,1312.88,0.8904,1,8.74,0.437,1.4974
30,64.782,4602.01,950.38,1312.88,0.8997,1,17.58,0.586,2.1685
40,65.4475,4601.01,961.41,1312.88,0.909,1,28.61,0.7153,2.834
50,66.1193,4596.28,970.26,1312.88,0.9183,1,37.46,0.7492,3.5058
60,66.7805,4595.58,981.24,1312.88,0.9275,1,48.44,0.8073,4.167
70,67.452,4591.01,990.09,1312.88,0.9368,1,57.29,0.8184,4.8385
80,68.0934,4591.2,1000.71,1312.88,0.9457,1,67.91,0.8489,5.4799
90,68.7549,4587.39,1009.52,1312.88,0.9549,1,76.72,0.8524,6.1414
100,69.3962,4587.62,1020.14,1312.88,0.9638,1,87.34,0.8734,6.7827
0,61.5599,4480.62,918.78,1200.22,0.855,2,0.0,0.0,0.0
10,62.3683,4452.64,918.69,1200.22,0.8662,2,-0.09,-0.009,0.8084
20,63.0654,4447.78,927.73,1200.22,0.8759,2,8.95,0.4475,1.5055
30,63.741,4444.32,936.64,1200.22,0.8853,2,17.86,0.5953,2.1811
40,64.4092,4441.32,945.47,1200.22,0.8946,2,26.69,0.6673,2.8493
50,65.0777,4441.77,956.52,1200.22,0.9039,2,37.74,0.7548,3.5178
60,65.7485,4438.69,965.35,1200.22,0.9132,2,46.57,0.7762,4.1886
70,66.41,4439.54,976.34,1200.22,0.9224,2,57.56,0.8223,4.8501
80,67.0833,4436.38,985.17,1200.22,0.9317,2,66.39,0.8299,5.5234
90,67.7524,4433.55,994.0,1200.22,0.941,2,75.22,0.8358,6.1925
100,68.3894,4435.47,1004.61,1200.22,0.9499,2,85.83,0.8583,6.8295
0,60.4736,4312.22,904.26,1086.45,0.8399,3,0.0,0.0,0.0
10,61.2871,4285.92,904.35,1086.45,0.8512,3,0.09,0.009,0.8135
20,61.9998,4278.6,911.45,1086.45,0.8611,3,7.19,0.3595,1.5262
30,62.679,4276.74,920.41,1086.45,0.8705,3,16.15,0.5383,2.2054
40,63.3537,4275.13,929.31,1086.45,0.8799,3,25.05,0.6262,2.8801
50,64.0139,4277.74,940.26,1086.45,0.8891,3,36.0,0.72,3.5403
60,64.6885,4276.15,949.16,1086.45,0.8985,3,44.9,0.7483,4.2149
70,65.3464,4278.77,960.06,1086.45,0.9076,3,55.8,0.7971,4.8728
80,66.0186,4277.35,968.95,1086.45,0.9169,3,64.69,0.8086,5.545
90,66.6588,4280.44,979.45,1086.45,0.9258,3,75.19,0.8354,6.1852
100,67.3191,4279.83,988.35,1086.45,0.935,3,84.09,0.8409,6.8455
0,59.2924,4168.16,888.56,985.42,0.8235,4,0.0,0.0,0.0
