storage_MWh,daily_nh3,ton_cost,ren_used_MWh,total_ren_MWh,equipment_utilization,scenario_id,delta_ren_used_MWh,unlocking_factor,delta_nh3_tons
0,51.1163,4749.12,762.36,1121.11,0.7099,1,0.0,0.0,0.0
10,52.1088,4722.65,771.03,1121.11,0.7237,1,8.67,0.867,0.9925
20,52.8054,4721.23,779.95,1121.11,0.7334,1,17.59,0.8795,1.6891
30,53.5009,4719.89,788.85,1121.11,0.7431,1,26.49,0.883,2.3846
40,54.1951,4718.68,797.75,1121.11,0.7527,1,35.39,0.8847,3.0788
50,54.8879,4717.58,806.62,1121.11,0.7623,1,44.26,0.8852,3.7716
60,55.5783,4713.74,815.53,1121.11,0.7719,1,53.17,0.8862,4.462
70,56.2417,4707.51,824.35,1121.11,0.7811,1,61.99,0.8856,5.1254
80,56.8232,4709.0,833.59,1121.11,0.7892,1,71.23,0.8904,5.7069
90,57.464,4705.33,842.71,1121.11,0.7981,1,80.35,0.8928,6.3477
100,58.0572,4705.74,851.89,1121.11,0.8064,1,89.53,0.8953,6.9409
0,49.6755,4532.2,741.21,991.31,0.6899,2,0.0,0.0,0.0
10,50.7422,4504.25,750.75,991.31,0.7048,2,9.54,0.954,1.0667
20,51.4374,4505.83,759.65,991.31,0.7144,2,18.44,0.922,1.7619
30,52.1315,4507.41,768.53,991.31,0.724,2,27.32,0.9107,2.456
40,52.8244,4509.05,777.41,991.31,0.7337,2,36.2,0.905,3.1489
50,53.5158,4510.72,786.27,991.31,0.7433,2,45.06,0.9012,3.8403
60,54.1984,4509.89,795.07,991.31,0.7528,2,53.86,0.8977,4.5229
70,54.8773,4505.07,804.12,991.31,0.7622,2,62.91,0.8987,5.2018
80,55.4533,4509.18,813.36,991.31,0.7702,2,72.15,0.9019,5.7778
90,56.0784,4508.53,822.22,991.31,0.7789,2,81.01,0.9001,6.4029
100,56.6826,4510.34,831.52,991.31,0.7873,2,90.31,0.9031,7.0071
0,48.0682,4330.26,716.18,869.14,0.6676,3,0.0,0.0,0.0
10,49.1208,4306.66,726.47,869.14,0.6822,3,10.29,1.029,1.0526
20,49.816,4311.05,735.38,869.14,0.6919,3,19.2,0.96,1.7478
30,50.5101,4315.36,744.26,869.14,0.7015,3,28.08,0.936,2.4419
40,51.203,4319.65,753.13,869.14,0.7112,3,36.95,0.9238,3.1348
50,51.8944,4323.89,761.99,869.14,0.7208,3,45.81,0.9162,3.8262
60,52.5834,4325.1,770.88,869.14,0.7303,3,54.7,0.9117,4.5152
70,53.1903,4327.82,779.61,869.14,0.7388,3,63.43,0.9061,5.1221
80,53.857,4328.57,789.93,869.14,0.748,3,73.75,0.9219,5.7888
90,54.4708,4330.71,798.7,869.14,0.7565,3,82.52,0.9169,6.4026
100,55.1324,4328.94,807.44,869.14,0.7657,3,91.26,0.9126,7.0642
0,46.8943,4167.34,698.99,776.95,0.6513,4,0.0,0.0,0.0
10,47.9896,4144.59,710.05,776.95,0.6665,4,11.06,1.106,1.0953
20,48.6836,4151.47,718.94,776.95,0.6762,4,19.95,0.9975,1.7893
30,49.3765,4158.18,727.8,776.95,0.6858,4,28.81,0.9603,2.4822
40,50.0682,4164.8,736.66,776.95,0.6954,4,37.67,0.9417,3.1739
50,50.7584,4171.32,745.5,776.95,0.705,4,46.51,0.9302,3.8641
60,51.4384,4174.3,754.4,776.95,0.7144,4,55.41,0.9235,4.5441
70,51.8408,4189.74,759.6,776.95,0.72,4,60.61,0.8659,4.9465
80,51.8408,4226.91,759.6,776.95,0.72,4,60.61,0.7576,4.9465
90,51.8408,4264.07,759.6,776.95,0.72,4,60.61,0.6734,4.9465
100,51.8408,4301.23,759.6,776.95,0.72,4,60.61,0.6061,4.9465
0,54.2204,4505.31,810.23,1100.96,0.7531,5,0.0,0.0,0.0
10,54.9679,4499.57,817.55,1100.96,0.7634,5,7.32,0.732,0.7475
20,55.6761,4496.19,824.3,1100.96,0.7733,5,14.07,0.7035,1.4557
30,56.3672,4497.98,833.16,1100.96,0.7829,5,22.93,0.7643,2.1468
40,57.057,4499.8,841.99,1100.96,0.7925,5,31.76,0.794,2.8366
50,57.7453,4501.64,850.81,1100.96,0.802,5,40.58,0.8116,3.5249
60,58.4322,4502.44,859.63,1100.96,0.8116,5,49.4,0.8233,4.2118
70,59.1144,4499.95,868.52,1100.96,0.821,5,58.29,0.8327,4.894
80,59.7838,4499.68,879.55,1100.96,0.8303,5,69.32,0.8665,5.5634
90,60.462,4495.28,888.47,1100.96,0.8397,5,78.24,0.8693,6.2416
100,61.1315,4491.58,897.37,1100.96,0.849,5,87.14,0.8714,6.9111
0,52.189,4322.67,781.83,971.16,0.7248,6,0.0,0.0,0.0
10,52.9352,4319.36,789.13,971.16,0.7352,6,7.3,0.73,0.7462
20,53.643,4318.23,795.87,971.16,0.745,6,14.04,0.702,1.454
30,54.3328,4322.43,804.7,971.16,0.7546,6,22.87,0.7623,2.1438
40,55.0213,4326.57,813.52,971.16,0.7642,6,31.69,0.7922,2.8323
50,55.7083,4330.69,822.32,971.16,0.7737,6,40.49,0.8098,3.5193
60,56.3939,4334.15,831.12,971.16,0.7832,6,49.29,0.8215,4.2049
70,57.0785,4336.08,839.96,971.16,0.7928,6,58.13,0.8304,4.8895
80,57.762,4334.72,848.85,971.16,0.8022,6,67.02,0.8377,5.573
90,58.442,4332.91,857.74,971.16,0.8117,6,75.91,0.8434,6.253
100,59.1096,4334.47,868.8,971.16,0.821,6,86.97,0.8697,6.9206
0,49.891,4156.7,749.73,848.99,0.6929,7,0.0,0.0,0.0
10,50.6369,4155.73,757.04,848.99,0.7033,7,7.31,0.731,0.7459
20,51.3448,4156.79,763.78,848.99,0.7131,7,14.05,0.7025,1.4538
30,52.0332,4163.39,772.59,848.99,0.7227,7,22.86,0.762,2.1422
40,52.7203,4169.87,781.39,848.99,0.7322,7,31.66,0.7915,2.8293
50,53.4061,4176.24,790.17,848.99,0.7418,7,40.44,0.8088,3.5151
60,54.0908,4180.51,798.98,848.99,0.7513,7,49.25,0.8208,4.1998
70,54.7744,4186.58,807.74,848.99,0.7608,7,58.01,0.8287,4.8834
80,55.4566,4187.06,816.61,848.99,0.7702,7,66.88,0.836,5.5656
90,56.0551,4196.46,824.28,848.99,0.7785,7,74.55,0.8283,6.1641
100,56.0551,4230.82,824.28,848.99,0.7785,7,74.55,0.7455,6.1641
0,47.679,4047.73,720.23,756.8,0.6622,8,0.0,0.0,0.0
10,48.4871,4041.52,726.75,756.8,0.6734,8,6.52,0.652,0.8081
20,49.1928,4044.47,733.49,756.8,0.6832,8,13.26,0.663,1.5138
30,49.8798,4052.98,742.29,756.8,0.6928,8,22.06,0.7353,2.2008
40,50.0733,4088.82,744.61,756.8,0.6955,8,24.38,0.6095,2.3943
50,50.0751,4128.41,744.59,756.8,0.6955,8,24.36,0.4872,2.3961
60,50.0751,4166.88,744.59,756.8,0.6955,8,24.36,0.406,2.3961
70,50.0751,4205.35,744.59,756.8,0.6955,8,24.36,0.348,2.3961
80,50.0751,4243.82,744.59,756.8,0.6955,8,24.36,0.3045,2.3961
90,50.0751,4282.29,744.59,756.8,0.6955,8,24.36,0.2707,2.3961
100,50.0751,4320.77,744.59,756.8,0.6955,8,24.36,0.2436,2.3961
0,36.4896,4583.84,562.33,789.4,0.5068,9,0.0,0.0,0.0
